"No.","Time","Source","Destination","Protocol","Length","Info"
"47104","1292.435092654","2a04:4e42:25::760","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  58098 [ACK] Seq=32048 Ack=1171 Win=145408 Len=0 TSval=3220374267 TSecr=3758263403"
"47105","1292.450532443","2606:4700:9c61:a18:c6c6:48e:72a1:ef17","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  37902 [ACK] Seq=3417 Ack=55466 Win=81920 Len=0 TSval=1784145322 TSecr=1645920208"
"47106","1292.466475340","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2a04:4e42:25::760","TCP","86","[TCP Keep-Alive] 58078  >  443 [ACK] Seq=1170 Ack=49275 Win=64256 Len=0 TSval=3758400390 TSecr=322208201"
"47107","1292.470444834","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2a04:4e42:25::760","TCP","86","[TCP Keep-Alive] 58076  >  443 [ACK] Seq=1772 Ack=82222 Win=87424 Len=0 TSval=3758400394 TSecr=3854423096"
"47108","1292.525579100","2a04:4e42:25::760","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  58078 [ACK] Seq=49275 Ack=1171 Win=145408 Len=0 TSval=322253290 TSecr=3758263401"
"47109","1292.535062094","2a04:4e42:25::760","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  58076 [ACK] Seq=82222 Ack=1773 Win=146432 Len=0 TSval=3854468174 TSecr=3758263626"
"47110","1293.202526837","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4002:825::2004","TCP","86","[TCP Keep-Alive] 51992  >  443 [ACK] Seq=4749 Ack=34466 Win=64256 Len=0 TSval=3831648787 TSecr=1710344581"
"47111","1293.202565425","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:e962","TCP","86","[TCP Keep-Alive] 59258  >  443 [ACK] Seq=37573 Ack=18042 Win=64256 Len=0 TSval=2707844541 TSecr=349356697"
"47112","1293.255585347","64:ff9b::23f4:e962","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  59258 [ACK] Seq=18042 Ack=37574 Win=172544 Len=0 TSval=349401792 TSecr=2707799133"
"47113","1293.277479209","2404:6800:4002:825::2004","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  51992 [ACK] Seq=34466 Ack=4750 Win=68608 Len=0 TSval=1710389741 TSecr=3831602931"
